statefips,countyfips,target
-2.062177547415076,-1.352535328459298,2.43
-2.062177547415076,-1.2193537170080113,3.59
-2.062177547415076,-1.0674650362910902,2.77
-2.062177547415076,-0.3423344173409759,3.86
-2.062177547415076,-0.1771404848644272,2.5
-2.062177547415076,-0.059414358981038536,2.34
-2.062177547415076,-0.03163656552954783,3.56
-2.062177547415076,0.21749091473797064,2.69
-2.062177547415076,0.3264792622151697,2.12
-2.062177547415076,0.3778843114723592,2.26
-2.062177547415076,0.427456369249063,2.62
-2.062177547415076,0.5397755990380726,2.57
-2.062177547415076,0.6100502003282153,2.55
-2.062177547415076,0.7723046428848181,2.98
-2.062177547415076,0.8325877102119168,4.65
-2.062177547415076,0.8762861513594311,2.9
-2.062177547415076,0.9187786377547764,3.03
-2.062177547415076,0.9871171316228666,3.26
-2.062177547415076,1.0202021045726761,3.28
-2.062177547415076,1.0397259277535735,3.97
-2.062177547415076,1.084371108515233,2.4
-2.062177547415076,1.1031298227004578,2.77
-2.062177547415076,1.2344297266750641,2.49
-2.062177547415076,1.2908045479858443,2.15
-2.062177547415076,1.3453319145176315,3.11
-2.062177547415076,1.4544023890800324,3.1
-2.062177547415076,1.5234318688651736,2.08
-2.062177547415076,1.5569406992942418,2.32
-2.062177547415076,1.5944645358803533,2.81
-2.175910438129694,-2.4041020414735232,2.68
-2.175910438129694,-2.082276702982297,2.6
-2.175910438129694,-1.86874298697019,2.61
-2.175910438129694,-1.704660426620146,2.95
-2.175910438129694,-1.5696752228679625,2.74
-2.175910438129694,-1.454108971920245,2.73
-2.175910438129694,-1.352535328459298,2.49
-2.175910438129694,-1.2615814172353588,2.52
-2.175910438129694,-1.1789959480865158,2.44
-2.175910438129694,-1.1031954733446314,2.28
-2.175910438129694,-1.0330205937810208,2.68
-2.175910438129694,-0.9675949095089756,2.37
-2.175910438129694,-0.9062385567533586,2.57
-2.175910438129694,-0.8484126810366042,2.45
-2.175910438129694,-0.7936823851984369,2.57
-2.175910438129694,-0.7416911983902218,2.62
-2.175910438129694,-0.6921429962693284,2.43
-2.175910438129694,-0.6447888926618692,2.48
-2.175910438129694,-0.5994175387152672,2.42
-2.175910438129694,-0.5558478131536311,2.49
-2.175910438129694,-0.5139232255614766,2.56
-2.175910438129694,-0.4735075697184635,2.55
-2.175910438129694,-0.4344815042830214,2.56
-2.175910438129694,-0.3967398316991988,2.53
-2.175910438129694,-0.36018930990811704,2.81
-2.175910438129694,-0.3247468756213473,2.65
-2.175910438129694,-0.290338189061288,2.6
-2.175910438129694,-0.2568964323718745,2.56
-2.175910438129694,-0.2243613100898303,2.36
-2.175910438129694,-0.19267821196853815,2.62
-2.175910438129694,-0.1617975073017256,2.47
-2.175910438129694,-0.13167394655485581,2.7
-2.175910438129694,-0.10226615117333404,2.53
-2.175910438129694,-0.07353617631883969,2.47
-2.175910438129694,-0.045449134289415924,2.62
-2.175910438129694,-0.017972868723021947,2.56
-2.175910438129694,0.008922328472556626,2.47
-2.175910438129694,0.035263964060709425,2.27
-2.175910438129694,0.061077559721026665,2.35
-2.175910438129694,0.08638684209709599,2.46
-2.175910438129694,0.11121391039132836,2.54
-2.175910438129694,0.13557938463830435,2.64
-2.175910438129694,0.15950253728775815,2.49
-2.175910438129694,0.1830014103175806,2.24
-2.175910438129694,0.20609291975843996,2.46
-2.175910438129694,0.2287929492308504,2.42
-2.175910438129694,0.2511164338617944,2.34
-2.175910438129694,0.2730774357526321,2.72
-2.175910438129694,0.29468921200603754,2.62
-2.175910438129694,0.3159642761815078,2.62
-2.175910438129694,0.3369144539321443,2.47
-2.175910438129694,0.3575509334761915,2.55
-2.175910438129694,0.3778843114723592,2.7
-2.175910438129694,0.3979246347957856,2.51
-2.175910438129694,0.41768143864960566,2.44
-2.175910438129694,0.437163781393963,2.49
-2.175910438129694,0.45638027642838047,2.59
-2.175910438129694,0.4753391214238404,2.62
-2.175910438129694,0.4940481251664976,2.66
-2.175910438129694,0.5125147322451269,2.61
-2.175910438129694,0.5307460457883441,2.49
-2.175910438129694,0.5487488484349535,2.48
-2.175910438129694,0.5665296217008319,2.75
-2.175910438129694,0.5840945638883439,2.54
